item_id,price,quantity,sold,title,totalSoldQuantity,url,img,titleUnderIconList
597359891692,249.00,0,3127,女装 双面穿连帽外套 420262 优衣库UNIQLO,6390,//detail.m.tmall.com/item.htm?id=597359891692,//img.alicdn.com/bao/uploaded/i2/196993935/O1CN01ZlwKat1ewH3q9B97A_!!0-item_pic.jpg,[]
596195378342,129.00,0,5365,女装 法兰绒格子衬衫(长袖) 421604 优衣库UNIQLO,9781,//detail.m.tmall.com/item.htm?id=596195378342,//img.alicdn.com/bao/uploaded/i2/196993935/O1CN01n7iBNh1ewH4TebGQD_!!0-item_pic.jpg,[]
601960763154,399.00,0,2295,【设计师合作款】男装 摇粒绒衬衫式茄克(长袖) 419542 优衣库,2667,//detail.m.tmall.com/item.htm?id=601960763154,//img.alicdn.com/bao/uploaded/i4/196993935/O1CN01kdk3KF1ewH4zFjZEO_!!0-item_pic.jpg,[]
599125960034,399.00,0,2572,女装 仿羊羔绒压线两面穿茄克 421437 优衣库UNIQLO,3001,//detail.m.tmall.com/item.htm?id=599125960034,//img.alicdn.com/bao/uploaded/i1/196993935/O1CN01oga75I1ewH5CDTXm7_!!0-item_pic.jpg,[]
597002653230,199.00,0,1945,女装 高腰格纹紧身裙 423260 优衣库UNIQLO,3636,//detail.m.tmall.com/item.htm?id=597002653230,//img.alicdn.com/bao/uploaded/i2/196993935/O1CN01vsbuhf1ewH3rNNT9C_!!0-item_pic.jpg,[]
604117007436,79.00,0,4160,女装 全棉V领宽袖上衣(七分袖) 418402 优衣库UNIQLO,4847,//detail.m.tmall.com/item.htm?id=604117007436,//img.alicdn.com/bao/uploaded/i4/196993935/O1CN01ErqEPM1ewH4x5JxN1_!!0-item_pic.jpg,[]
584783125273,249.00,0,3244,男装 弹力运动拉链连帽开衫 413436 优衣库UNIQLO,26873,//detail.m.tmall.com/item.htm?id=584783125273,//img.alicdn.com/bao/uploaded/i1/196993935/O1CN01DbNwwP1ewH4Aww4mc_!!0-item_pic.jpg,[]
597925305599,499.00,0,1941,女装 高级轻型羽绒茄克 419776 优衣库UNIQLO,2476,//detail.m.tmall.com/item.htm?id=597925305599,//img.alicdn.com/bao/uploaded/i1/196993935/O1CN01wt0ZDW1ewH5H7c1sJ_!!0-item_pic.jpg,[]
603634805618,129.00,0,2615,男装 法兰绒格子衬衫(长袖) 421199 优衣库UNIQLO,2821,//detail.m.tmall.com/item.htm?id=603634805618,//img.alicdn.com/bao/uploaded/i4/196993935/O1CN0186NEcR1ewH4rtC5Ap_!!0-item_pic.jpg,[]
598175948031,249.00,0,3044,【设计师合作款】女装 宽腿廓形裤 422279 优衣库UNIQLO,11610,//detail.m.tmall.com/item.htm?id=598175948031,//img.alicdn.com/bao/uploaded/i1/196993935/O1CN01oJIthk1ewH5Dj6ObL_!!0-item_pic.jpg,[]
